Wavelength nm.	25-X4006_LV-AU_150°C_15d  - RawData-001	25-X4006_LV-AU_150°C_15d  - RawData-002	25-X4006_LV-AU_150°C_15d  - RawData-003	25-X4006_LV-AU_150°C_15d  - RawData-004	25-X4006_LV-AU_150°C_15d  - RawData-005	25-X4006_LV-AU_150°C_15d  - RawData-006	25-X4006_LV-AU_150°C_15d  - RawData-007	25-X4006_LV-AU_150°C_15d  - RawData-008	25-X4006_LV-AU_150°C_15d  - RawData-009	25-X4006_LV-AU_150°C_15d  - RawData-010
200,0	4,987	4,984	4,959	4,896	4,945	4,928	4,889	4,891	4,894	4,925
200,2	5,007	4,993	4,946	4,900	4,943	4,919	4,899	4,909	4,940	4,943
200,4	5,032	4,989	4,931	4,946	4,955	4,941	4,924	4,943	4,944	4,951
200,6	4,973	4,967	4,968	4,975	4,947	4,961	4,939	4,937	4,963	4,928
200,8	4,986	4,995	4,969	4,975	4,955	4,981	4,948	4,968	4,932	4,912
201,0	4,977	4,984	4,996	4,972	4,971	4,966	4,952	4,989	5,002	4,945
201,2	4,987	5,017	4,989	4,959	4,985	4,990	4,970	5,002	4,989	4,981
201,4	4,997	4,968	5,031	4,976	5,006	5,038	4,997	5,018	5,026	5,012
201,6	5,016	5,005	5,033	4,993	5,010	5,070	5,019	5,037	5,007	5,024
201,8	5,047	4,996	5,035	5,011	5,077	5,070	5,023	5,044	5,049	5,041
202,0	5,074	5,052	5,025	5,060	5,091	5,036	5,028	5,035	5,043	5,051
202,2	5,064	5,061	5,049	5,072	5,118	5,025	5,026	5,046	5,040	5,039
202,4	5,060	5,073	5,059	5,091	5,060	5,041	5,039	5,056	5,041	5,038
202,6	5,019	5,070	5,048	5,095	5,068	5,064	5,036	5,066	5,030	5,060
202,8	5,039	5,092	5,039	5,079	5,063	5,070	5,068	5,062	5,054	5,059
203,0	5,050	5,119	5,044	5,121	5,065	5,075	5,086	5,083	5,075	5,047
203,2	5,093	5,114	5,087	5,123	5,056	5,064	5,156	5,070	5,114	5,034
203,4	5,121	5,127	5,103	5,137	5,064	5,093	5,141	5,065	5,151	5,036
203,6	5,161	5,106	5,102	5,129	5,073	5,091	5,135	5,062	5,169	5,100
203,8	5,172	5,110	5,123	5,150	5,083	5,125	5,128	5,114	5,162	5,161
204,0	5,215	5,120	5,136	5,143	5,068	5,116	5,126	5,134	5,141	5,208
204,2	5,197	5,127	5,162	5,123	5,077	5,134	5,119	5,137	5,116	5,200
204,4	5,207	5,154	5,131	5,109	5,097	5,149	5,099	5,125	5,108	5,179
204,6	5,188	5,150	5,130	5,133	5,118	5,155	5,134	5,155	5,117	5,190
204,8	5,175	5,206	5,136	5,167	5,131	5,157	5,158	5,173	5,138	5,211
205,0	5,215	5,193	5,149	5,160	5,127	5,138	5,176	5,177	5,187	5,210
205,2	5,194	5,214	5,181	5,162	5,157	5,149	5,194	5,170	5,201	5,175
205,4	5,225	5,209	5,196	5,185	5,150	5,153	5,194	5,190	5,191	5,174
205,6	5,219	5,228	5,192	5,218	5,154	5,222	5,207	5,225	5,191	5,193
205,8	5,228	5,237	5,178	5,219	5,170	5,240	5,160	5,212	5,190	5,202
206,0	5,263	5,256	5,195	5,194	5,206	5,265	5,172	5,198	5,230	5,175
206,2	5,229	5,275	5,213	5,176	5,253	5,205	5,157	5,202	5,217	5,223
206,4	5,264	5,228	5,222	5,214	5,232	5,246	5,203	5,216	5,230	5,233
206,6	5,256	5,205	5,224	5,236	5,252	5,277	5,211	5,232	5,251	5,268
206,8	5,273	5,215	5,278	5,259	5,267	5,312	5,216	5,235	5,295	5,238
207,0	5,297	5,246	5,290	5,249	5,282	5,318	5,208	5,281	5,295	5,274
207,2	5,295	5,263	5,254	5,250	5,293	5,321	5,204	5,319	5,273	5,307
207,4	5,297	5,291	5,218	5,243	5,291	5,350	5,247	5,317	5,277	5,292
207,6	5,253	5,304	5,223	5,248	5,309	5,340	5,291	5,275	5,274	5,308
207,8	5,294	5,271	5,264	5,261	5,311	5,344	5,332	5,227	5,263	5,291
208,0	5,336	5,254	5,272	5,291	5,319	5,354	5,335	5,281	5,228	5,317
208,2	5,356	5,250	5,282	5,280	5,301	5,333	5,326	5,311	5,244	5,323
208,4	5,335	5,296	5,347	5,251	5,352	5,309	5,300	5,365	5,262	5,301
208,6	5,313	5,318	5,359	5,259	5,330	5,260	5,285	5,320	5,288	5,302
208,8	5,349	5,341	5,350	5,281	5,339	5,280	5,317	5,323	5,286	5,290
209,0	5,361	5,354	5,310	5,335	5,295	5,319	5,331	5,298	5,350	5,321
209,2	5,385	5,353	5,341	5,342	5,329	5,367	5,355	5,304	5,383	5,332
209,4	5,407	5,405	5,363	5,351	5,360	5,363	5,376	5,334	5,448	5,352
