Wavelength nm.	X4006_LV-AU_150°C_3d - RawData-001	X4006_LV-AU_150°C_3d - RawData-002	X4006_LV-AU_150°C_3d - RawData-003	X4006_LV-AU_150°C_3d - RawData-004	X4006_LV-AU_150°C_3d - RawData-005	X4006_LV-AU_150°C_3d - RawData-006	X4006_LV-AU_150°C_3d - RawData-007	X4006_LV-AU_150°C_3d - RawData-008	X4006_LV-AU_150°C_3d - RawData-009	X4006_LV-AU_150°C_3d - RawData-010
200,0	5,082	5,110	5,127	5,095	5,020	4,979	5,024	5,029	5,024	5,035
200,2	5,084	5,102	5,112	5,060	5,054	5,027	5,052	5,032	5,026	5,033
200,4	5,089	5,086	5,135	5,055	5,073	5,048	5,060	5,035	5,030	5,041
200,6	5,106	5,077	5,133	5,083	5,103	5,062	5,093	5,054	5,066	5,006
200,8	5,139	5,097	5,130	5,095	5,103	5,052	5,093	5,075	5,045	5,005
201,0	5,146	5,123	5,126	5,102	5,171	5,088	5,121	5,087	5,060	5,057
201,2	5,136	5,199	5,106	5,108	5,172	5,108	5,109	5,059	5,054	5,117
201,4	5,160	5,211	5,132	5,146	5,141	5,099	5,121	5,067	5,115	5,156
201,6	5,171	5,225	5,113	5,156	5,097	5,121	5,111	5,088	5,130	5,155
201,8	5,237	5,177	5,129	5,179	5,068	5,138	5,133	5,113	5,132	5,170
202,0	5,211	5,195	5,162	5,227	5,135	5,205	5,162	5,136	5,117	5,189
202,2	5,230	5,196	5,190	5,229	5,139	5,163	5,170	5,124	5,114	5,164
202,4	5,215	5,182	5,204	5,218	5,192	5,168	5,161	5,160	5,157	5,106
202,6	5,228	5,182	5,173	5,184	5,199	5,168	5,144	5,143	5,182	5,099
202,8	5,225	5,155	5,205	5,192	5,207	5,190	5,176	5,178	5,191	5,144
203,0	5,206	5,186	5,196	5,240	5,207	5,185	5,202	5,195	5,165	5,171
203,2	5,238	5,174	5,286	5,211	5,174	5,152	5,204	5,219	5,165	5,182
203,4	5,283	5,239	5,280	5,255	5,190	5,177	5,205	5,224	5,182	5,176
203,6	5,301	5,264	5,290	5,244	5,174	5,206	5,229	5,231	5,184	5,215
203,8	5,290	5,292	5,213	5,296	5,176	5,211	5,248	5,294	5,206	5,214
